medicamento,substancia
FORMOTEROL 6 MCG+ BUDESONIDA 200MCG SPRAY TB,FORMOTEROL + BUDESONIDA
Zytiga 500mg Comprimido Revestido,ABIRATERONA
Insulina Lispro Dna Recombinante 100ui/ml Carpule 3ml,INSULINA LISPRO
"NEOSTIGMINA 0,5MG/ML SOL INJ 1ML",NEOSTIGMINA
METILPREDNISOLONA PO/SOL.INJ.125MG FA+DIL.DO FAB.,METILPREDNISOLONA
Lexapro 10mg Comprimido ,ESCitalopram
"Deslanosideo 0,2 mg/mL amp 2 mL",DESLANOSIDEO
Ondansetrona 2mg/ml Ampola 2ml,ONDANSETRONA
NIMESULIDA 50MG/ML GOTAS,Nimesulida
ZOLPIDEM 10MG (NP),ZOLPIDEM
Bevacizumabe 100mg/4ml Fr/amp,BEVACIZUMABE
CIPROFLOXACINO 2 MG/ML 200 ML (400MG) BOLSA,CIPROFLOXACINO  
BuPROPiona 50mg/mL Susp oral 90mL (Med. Controlado) (Não Padrão),BuPROPiona
"Levonorgestrel 0,15mg + Etilnilestradiol 0,03mg Cp",LEVONORGESTREL + ETINILESTRADIOL
TRAMADOL 50MG/  ML (MED. ALTO RISCO),TRAMADOL CLORIDRATO
DULOXETINA 30MG COMPRIMIDO,Duloxetina
Sulfato de Neomicina + Bacitracina Tubo 50g,NEOMICINA + BACITRACINA (TOPICO)
Foraseq 12/400mcg Cap inal (Multipak),FORMOTEROL + BUDESONIDA
GLICERINA,GLICERINA (RETAL)
OLMESARTANA 20 mg,OLMESARTANA
LEVETIRACETAM 250MG - COMPRIMIDO,LEVETIRACETAM
Cetamina 5mg/dose Sol inal 100mL (Med. Controlado) (Não Padrão),CETAMINA
"SOLUÇÃO DE OLIGOELEMENTOS: ZINCO 2,5MG + COBRE 0,8MG + MANGANÊS 0,4MG + CROMO 10MCG - 2 ML - AMPOLA",ZINCO + COBRE + MANGANES + CROMO
CAPILAREMA 75 MG (NP),AMINAFTONA
DEXAMETASONA COLIRIO FR 5ML (DECADRON),DEXAmetasona (OFTALMICo)
MESNA 100mg/mL,MESNA
DEXCLORFENIRAMINA 2MG COMP,DEXCLORFENIRAMINA
PACLITAXEL P/ MG (PRESCRICAO),PACLITAXEL
Ciprofloxacino 2mg/ml Bolsa 100ml,CIPROFLOXACINO  
PREGABALINA 75 mg,PREGABALINA
ALPROSTADIL SOLUCAO INJETAVEL 20 MCG/ML 1 ML ®,ALPROSTADIL (PROSTAGLANDINA E1)
"SORO FISIOLOGICO 0,9% 250ML SF","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
MINOXIDIL 10MG COMP  (NP),MINOXIDIL
RifAMPICina 300mg Cápsula,Rifampicina
(MPP) INSULINA NPH HUMANA SC FR/AMP 10 ML 100 UI/mL,INSULINA HUMANA NPH
SERETIDE FR SPRAY 25MCG/125MCG N.P.,SALMETEROL + FLUTICASONA
GANCICLOVIR 500MG FR AMP,GANCICLOVIR
"Zarzio 300mcg/0,5ml",FILGRASTIM
PALBOCICLIBE 75MG VO QT,Palbociclibe
FIO CAPROFYL COD. CF 124T DIAM. 0 70 CM AG. 2.5 1/,COLECALCIFEROL (VITAMINA D)
Dolosal 100mg/2mL Sol inj (Med. Controlado),PETIDINA (MEPERIDINA)
GLICEROFOSFATO DE SODIO 216mg/mL INJ (1mmol/mL) 20mL  MAV,GLICEROFOSFATO DE SODIO
Bisaliv 20mg/mL Sol oral 60mL (Med. Controlado) (Importado) (Não Padrão),CANABIDIOL
MALEATO DE LEVOMEPROMAZINA 40MG/ML (4%) - 20 ML – SOLUÇÃO - VIA ORAL - FRASCO GOTAS,LEVOMEPROMAZINA (METOTRIMEPRAZINA)
TOPIRAMATO 25MG,TOPIRAMATO
MitoXANtrona 2MG/ML - 10ML - BI (MEDICAMENTO DE RISCO),MITOXANTRONA
Perindopril Arginina 10mg (Acertil),PERINDOPRIL ARGININA (PERINDOPRIL ERBUMINA)
(Do paciente) Nicotina 21 mg adesivo transdérmico,NICOTINA (TRANSDERMICO)
CefTRIAXona 1G SOL.INJ,CefTRIAXona
Biperideno 2mg Cp. *,BIPERIDENO
ERITROPOETINA 4.000UI SOL INJ SC,ALFAEPOETINA (ERITROPOETINA)
Propranolol 40mg cp,PROPRANOLOL
Rubidox 50mg Inj,DOXORRUBICINA  CLORIDRATO
"Pramipexol 0,375mg Comprimido de Liberação Prolongada",PRAMIPEXOL
Succinato de metoprolol 50mg cp.,METOPROLOL SUCCINATO
Dipirona SODICA 500MG/ML (GOTAS),DipiRONA
Glicose Sol oral Env 15g,SOLUCAO DE GLICOSE (SORO GLICOSADO)
RACECADOTRILA GRANULADO SACHE 30MG,RACECADOTRILA
LevoTIROXina 137 mcg comprimido,LevoTIROXina
MEROpenem 500 MG - FR/AMP,MEROPENEM
Fauldmetro 50 mg  FA 2 ml ,METOTREXATO
Tevaetopo 100 mg FA 5ml (Etoposido),ETOPOSIDEO
AGUA BIDESTILADA 500ML SISTEMA FECHADO,AGUA DESTILADA
AMIVANTAMAB 350 MG - BI (MEDICAMENTO DE RISCO),AMIVANTAMABE
Zoltec 200mg/100mL Sol inj,FLUCONAZOL
NP: VENLAFAXINA,VENLAFAXINA 
Urbanil 20mg Comprimido,CLOBAZAM
"BRIMONIDINA TARTARATO SOLUCAO OFTALMICA 0,15% 5ML",BRIMONIDINA (OFTALMICO)
FLUCONAZOL 2MG/ML – 100ML (200MG) - SOLUÇÃO INJETÁVEL - ENDOVENOSA - BOLSA,FLUCONAZOL
Restiva 20mg Adesivo Transdérmico,BUPRENORFINA
"TAZOCIN 4,5G/20ML EV - BI",PIPERACILINA + TAZOBACTAM
Espironolactona 25mg Cp.,ESPIRONOLACTONA
TIAMINA 300 MG COMP,TIAMINA (VITAMINA B1)
"Omeprazol 40mg, injetável, EV",OMEPRAZOL
ALPROSTADIL 500MCG/1ML INJETÁVEL,ALPROSTADIL (PROSTAGLANDINA E1)
TOBRAMICINA 3MG/ML SOL. OFTALMICA FR 5ML,TOBRAMICINA (OFTALMICO)
"STP CLORETO DE SODIO 0,9% FR 250 ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
AMOXICILINA COMP 500MG,AMOXICILINA
Paracetamol 500mg E Codeína 30mg Cp.,CODEINA + PARACETAMOL (ACETAMINOFEM)
AZITROMICINA 500MG - COMPRIMIDO,AZITROMICINA
PredniSONA 20mg Cp,PredniSONA
"OCTREOTIDA 0,1MG/ML SOL INJ*",OCTREOTIDA
CLORTALIDONA COMPRIMIDO 50MG,CLORTALIDONA
Alprostadil 20mcg,ALPROSTADIL (PROSTAGLANDINA E1)
CLONIDINA 150MCG/ML (CLONIDIN),CLONIDINA
ALTEPLASE 1MG/ML 50ML FA,ALTEPLASE
ENALAPRIL 5MG 30 CP BIOLAB GEN,ENALAPRIL MALEATO
"Clonidina 100mcg (0,100mg) Comprimido",CLONIDINA
RINGER COM LACTATO 1000ML,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
"Clortalidona 12,5mg cp",CLORTALIDONA
AZITromicina 500mg cp,AZITROMICINA
Ibuprofeno 600 Mg Cp.,IBUPROFENO
Metformina 850mg Cpr,METFORMINA
"NOVABUPIVACAINA 0,5% COM VASO 20ML - INJ",LEVOBupivacaina
Solu-CORTEF 500 mg Fr amp,HIDROCORTISONA SUCCINATO SODICO
"ENOXAPARINA 80 MG 0,8 MG",ENOXAPARINA SODICA
Latuda 80mg Cp rev (Med. Controlado) (Não Padrão),LURASIDONA
QUEtiapina Fumarato 200mg Comprimido Revestido de Liberação Prolongada,QUEtiapina
Diazepam 5 mg/mL amp 2 mL,DIAZEPAM
CEFALOTINA 1G FR AMP,Cefalotina
FOSFATO TRICALCIO (CALCIO 60 mg/mL + FOSFORO 32 mg/mL) 92 mg/mL,SOLUCAO DE CALCIO + FOSFORO
DEXAmetasona 1MG/G - CREME,DEXAmetasona (tópico)
FUROSEMIDA 40 mg,FUROSEMIDA
Prometazina 25mg cp.,PROMETAZINA
AXITINIBE 5MG,AXITINIBE
"TOPIRAMATO 12,5MG - CP",TOPIRAMATO
N-butilescopolamina gotas 10 mg/mL frasco 20 mL (400 gotas),ESCOPOLAMINA (HIOSCINA)
Opdivo 100mg/10mL,NIVOLUMABE
PANCREATINA 10000 CPR,PANCREATINA
PROLOPA BD,LEVODOPA + BENSERAZIDA
Eritropoetina (Alfaepoetina) 10.000 UI Frasco-ampola + Diluente 1ml,ALFAEPOETINA (ERITROPOETINA)
VASopressina 20 U/ML-1ML EV - BS - CARDIOPED (MED RISCO),Vasopressina
"Enoxaparina 20mg/0,2mL Inj. Ser. preenchida 0,2mL",ENOXAPARINA SODICA
(NAO PADRAO) RISPERIDONA 1MG/ML SOLUCAO ORAL FR 30ML,RISPERIDONA
FITOMENADIONA IM SOL INJ 10MG - 1ML,FITOMENADIONA (VITAMINA K)
Lipitor 40mg Cp rev (Não Padrão),ATORVASTATINA >10MG
Mesna 600 mg comp ,MESNA
Domperidona 10 Mg Cp.,DOMPERIDONA
Aminoácidos essenciais 10% com histidina Sol inj (NPP),AMINOACIDOS
PACLitaxel 30mg/5ml Fr/amp,PACLITAXEL
Mirabegron Comprimido 50mg,MIRABEGRONA
Stilnox 10mg Comprimido Revestido Sulcado,ZOLPIDEM
LEVODOPA+BENSERAZIDA(100MG+25MG) COMP DISPERSIVEL,LEVODOPA + BENSERAZIDA
QT PED-DAUNORRUBICINA 20MG - FA - MPP,DAUNORRUBICINA
MC: EPEZ 10 ,DONEPEZILA
AmiTRIPtilina 3% + Lidocaína 7% + Mentol 2% + Gabapentina 5% Gel 100g (Med. Controlado) (Não Padrão),AMITRIPTILINA + LIDOCAINA + MENTOL + GABAPENTINA (TOPICO)
"Versa 80mg/0,8mL Seringa",ENOXAPARINA SODICA
"CLORETO DE SODIO 0,9% AMP C/10ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
SOL GLICOSE 10%  1000ML SIST FECHADO,SOLUCAO DE GLICOSE (SORO GLICOSADO)
CATAFLAM 1% EMULGEL TUBO 60G,DICLOFENACO DIETILAMONIO (TOPICO)
Vismodegib 150mg Cap,VISMODEGIBE
Misoprostol 25mcg cp,Misoprostol
IOEXOL 300MG/ML MEIO CONT. NAO IONI. SOL. INJETAVEL FR 100ML,IOEXOL
Diclofenaco Sódico 75mg (25mg/ml) Ampola 3ml,DICLOFENACO INJETAVEL
"FOSFATO DISSÓDICO DE DEXAMETASONA 4,37MG+TIAMINA 100MG+PIRIDOXINA 100MG+CIANOCOBALAMINA 5.000MCG (DEXA-CITONEURIN)",DEXAMETASONA + TIAMINA + PIRIDOXINA + CIANOCOBALAMINA (VITAMINA B12)
TIGECICLINA 50MG F/A,TIGECICLINA
"BOSENTANA COMPRIMIDO 62,5MG",BOSENTANA
SUCRALFATO COMPRIMIDO MASTIGAVEL 1G,SUCRALFATO
Sulfato De Morfina 10 Mg/ml Solução Oral 60ml,SULFATO DE MORFINA
Vitamina D 100 UI/gota Sol oral 30mL (Não Padrão),COLECALCIFEROL (VITAMINA D)
Medicamento do paciente (uso eventual) 15,MEDICAMENTO DO PACIENTE
"COLAGENASE POMADA 1,2U/G 30G",COLAGENASE (TOPICO)
NIVOLUMABE 10MG/ML 4ML SOL.INJ - QT,NIVOLUMABE
CARBAMAZEPINA 200 mg,CARBAMAZEPINA
CETROLAC COLÍRIO,CETOROLACO DE TROMETAMINA
CEFEPIME 1 G FRA,CEFEPIMA
"Alfacorifolitropina 100 mcg/0,5 mL ",ALFACORIFOLITROPINA
"Desloratadina 0,5mg/ml Fra 60ml",DESLORATADINA
push FOsFato de potassio - ACESSO PERIFERICO CTI/EMER,FOSFATO DE POTASSIO
LIDOCAINA 2% S/V AMPOLA 5ML,LIDOCAINA CLORIDRATO
"CLORETO DE SODIO 0,9% SOL. INJETAVEL BOLS 1000ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
"CETILPIRIDINIO 0,5MG/ML SOLUCAO TOPICA ORAL FRASCO 300ML",CLORETO DE CETILPIRIDINIO
"Fluoxetina 20 mg , caps 20mg",FLUOXETINA
"FentaNILA 0,25 mg/5 mL amp (0,05 mg/mL) (Port344/98)",FENTANILA
AGUA DESTILADA INJ 500 ML BSA,AGUA DESTILADA
"Deltametrina Shampoo 0,2 mg/mL Fr 100ml",DELTAMETRINA (TOPICO)
"CLORETO DE POTASSIO 6% (0,8 MEQ/ML) S/ ACUCAR 100 ML SOLUCAO",CLORETO DE POTASSIO
Hydrea 500mg Cap,HIDROXIUREIA
NiFEDipino 10mg cp,NIFEDIPINO
LEVOFLOXACINA 500MG CPR,LEVOFLOXACINO
DAROLUTAMIDA 300MG CPR,DAROLUTAMIDA
"Tirofibana 0,25mg/ml 50ml FA ",TIROFIBANA	
FENITOINA SODICA 50MG/ML AMP 5ML,FENITOINA
NISTATINA SUSP ORAL 100000UI/ML FR 50ML,NISTATINA
MAGNESIO DIMALATO 260 mg,MAGNESIO DIMALATO
PROMETAZINA 25 MG/ML AMP 2ML - IM,PROMETAZINA
Artane 2mg Comprimido,TRIEXIFENIDIL
Glicose 10% 1000ml Sistema Fechado,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Fisiogel THD Sabonete 400 mL ( liqquido hidratanete ) ,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
IRINOTECANO 100MG FRASCO,IRINOTECANO
Revlimid 25mg Cap (caixa com 21) (Med. Controlado) ,LENALIDOMIDA
NITRATO DE PRATA 1% COLIRIO,NITRATO DE PRATA (OFTALMICO)
Metadona 10mg/ml Inj.,Metadona
BROMAZEPAM 3 MG COMPRIMIDO,BROMAZEPAM
VERAPAMIL CLORIDRATO COMPRIMIDO REVESTIDO 80MG,VERAPAMIL
Etoposídeo 100mg Fr/amp,ETOPOSIDEO
OCITOCINA 5UI INJ (5UI/ML) 1ML,ocitocina
TICAGRELOR 90MG,TICAGRELOR
"DELTAMETRINA 0,2MG/ML - LOCAO",DELTAMETRINA (TOPICO)
DAPTOMICINA 500MG – PÓ LIOFILIZADO PARA SOLUÇÃO INJETÁVEL - FRASCO-AMPOLA,DAPTOmicina
Transtec 40mg (70mcg/h) Adesivo (Med. Controlado) (Não Padrão),BUPRENORFINA
"CLORETO DE SODIO 0,9% - 250ML FR (SF)","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
SALBUTAMOL SPRAY 100MG FRASCO C/ 200 DOSES,SALBUTAMOL (ALBUTEROL)
Eucerin Aquaphor Pomada Reparadora 49g (Não Padrão),PANTENOL + GLICERINA + BISABOLOL (TOPICO)
(NAO PADRAO) BromoPRIDA 10MG CAPSULA,BROMOPRIDA
CEFEPIMA 1 G PO LIOFILIZADO INJETAVEL,CEFEPIMA
CIPROTERONA COMP 50 MG,CIPROTERONA
Nitroprussiato De Sódio 50mg 2 ML Inj.,NITROPRUSSIATO (NITROPRUSSETO)
HIDROXIZINE 25MG - CAPSULA,HIDROXIZINA
"DEXAmetasona 10mg/2,5mL Sol inj",DEXAMETASONA
Medicamento do Paciente 02,MEDICAMENTO DO PACIENTE
Furosemida 10mg/ml inj 2ml,FUROSEMIDA
GANciclovir 500 mg Po Liofilizado frasco-ampola,GANCICLOVIR
"Cloreto de sódio 0,9% Sol inj 1.000mL ","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
BROMIDRATO DE FENOTEROL 2 mg,FENOTEROL
BECLOMETASONA DIPROPIONATO SOLUCAO AEROSSOL 50MCG/DOSE 200 DOSES COM INALADOR,beclometasona
Sódio Monobásico Fosfato + Fosfato de Sódio Dibásico (160mg/mL + 60mg/mL) Fr. 130mL (Fleet Enema),FOSFATO DE SODIO MONOBASICO MONOIDRATADO + FOSFATO DE SODIO DIBASICO HEPTAIDRATADO (RETAL)
Rosuvastatina 10mg Comprimido,ROSUVASTATINA CALCICA
AMOXICILINA + CLAVUNATO COMPRIMIDOS,AMOXICILINA + CLAVULANATO POTASSIO
"Linezolida 2mg/mL 300mL, bolsa (IV)",LINEZOLIDA
CLORETO DE SODIO 10% SOL INJ AMPOLA C/10ML,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
CLONIDINA 150MCG/ML - AMP 1ML,CLONIDINA
"CLONAZEPAM 2,5MG/ML SOLUCAO ORAL DOSE 35 GOTAS",CLONAZEPAM
"BRIMONIDINA 0,2% + TIMOLOL 0,5% SOL OFT ",BRIMONIDINA + TIMOLOL
"Naloxona 0,4mg Amp1mL",NALOXONA
Glicose 25% (250mg/ml) Ampola 10ml | Solução Injetável,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Insulina Glargina 100ui/ml Frasco C/10 Ml (NÃO PADRONIZADO),INSULINA GLARGINA
AZITromicina 500mg Cp,AZITROMICINA
Metilfenidato Cloridrato 18mg Comprimido Revestido Lib Prolongada,METILFENIDATO
Aciclovir creme 50 mg/g tubo 10 g ,Aciclovir (tópico)
"BROMETO DE TIOTROPIO 2,5 mcg",TIOtropio BROMETO
FOSFATO DE RUXOLITINIBE 5MG (MEDICAMENTO DE RISCO),RUXOLITINIBE
Eritromax 40.000UI Seringa Preenchida 1mL,ALFAEPOETINA (ERITROPOETINA)
HIDRALAZINA 50MG,HidrALAZINA
"Sucralfato 1g, comprimido (ORAL)",SUCRALFATO
"Fludrocortisona 0,1 mg  cp (Manipulado)",FLUDROCORTISONA
GANciclovir COMPRIMIDO 250MG,GANCICLOVIR
MC: DEXAMETASONA 4MG ,DEXAMETASONA
Etoxin 50mg/ml Xarope Frasco 120ml,ETOSSUXIMIDA
Metaraminol 10mg/mL amp,METARAMINOL
HALDOL 1MG COMPRIMIDO,HaloPERidol
PANCREATINA 25000UI CAPS,PANCREATINA
"Betoptic S 2,8mg/ml Suspensão Oftálmica Gotas  (1 mL = 25 gotas) Frasco 5ml",CLORIDRATO DE BETAXOLOL
Codeina 30mg cp,CODEINA
"CIPROFLOXACINO, CLORIDRATO COMP 500MG",CIPROFLOXACINO  
Claritromicina 500 mg fr amp,CLARITROMICINA
"Metoclopramida 0,4% gotas 4 mg/mL frasco 10 mL (200 gotas)",METOCLOPRAMIDA
Vildagliptina 50mg Comprimido ,VILDAGLIPTINA
BICALUTAMIDA 50MG COMP,BICALUTAMIDA
BICALUTAMIDA 50MG COMP,BICALUTAMIDA
Sigma Clav BD 875/125 mg Cp.,AMOXICILINA + CLAVULANATO POTASSIO
BICARBONATO DE SODIO 8.4% 10ML  AMP,BICARBONATO DE SODIO
CETOPROFENO 100 MILIGRAMAS (FRASCO AMPOLA),CETOPROFENO
"Carbonato de Cálcio 500mg, comprimido",CARBONATO DE CALCIO
(Do paciente ) Losartana 50 mg ,LOSARTANA
Xarelto 10mg Comprimido Revestido,RIVAROXABANA
Ondansetrona 4mg/2mL Sol inj,ONDANSETRONA
MC: SILIF TOMAR 1 ,BROMETO DE PINAVERIO
"GLICOFISIOLOGICO COM POTÁSSIO 19,1% 1000mL sol.pronta p/uso BSA",CLORETO DE POTASSIO + CLORETO DE SODIO + GLICOSE
Atorvastatina 10 mg comprimido revestido,ATORVASTATINA
Prohance 15 Ml,GADOTERIDOL
"NOREPinefrina, Hemitartarato de 2mg/ml Amp 4ml",NOREPINEFRINA (NORADRENALINA)
NEBULIZACAO (BECLOMETASONA + OXIGÊNIO),beclometasona
MELATONINA 3 mg,MELATONINA
Clotrimazol 10mg/g Creme Tb. 20g,CLOTRIMAZOL (TOPICO)
LOSARTANA 50MG,LOSARTANA
Capecitabina 500mg (G),CAPECITABINA
SULFAMETOXAZOL+TRIMETROPRIMA 400+80MG COMP,SULFAMETOXAZOL+TRIMETOPRIMA
Gluconato De Cálcio 10 % Amp/10ml,GLUCONATO DE CALCIO
Levanlodipino 5mg Cp. (NÃO PADRONIZADO),LEVANLODIPINO
CLORTALIDONA 50 mg,CLORTALIDONA
DEXCLORFENIRAMINA 2MG/5ML XAROPE,DEXCLORFENIRAMINA
"COLCHIS 0,5MG - CP",Colchicina
"CLONAZEPAM 2,5MG/ML SOLUCAO ORAL DOSE 13 GOTAS",CLONAZEPAM
"Clobetasol 0,5 mg/g creme 30 g",CLOBETASOL (TOPICO)
PURAN T4 112MCG 30 CP C,LevoTIROXina
HIRUDOID GEL,POLISSULFATO DE MUCOPOLISSACARIDEO  (TÓPICO)
DEXTRANO 70+HIPROMELOSE 1MG+3MG/ML 15ML SOL.OFT - NEO,DEXTRANA + HIPROMELOSE (OFTALMICO)
FENITOINA 50MG/ML 5ML INJ,FENITOINA
MORFINA 10MG/ML SOLUCAO ORAL FR 60ML,SULFATO DE MORFINA
BECLOMETASONA 50MCG/DOSE AEROSSOL FRASCO 200 DOSES,beclometasona
"OXIMETAZOLINA 0,5mg/mL SPRAY NASAL 30mL",OXIMETAZOLINA
NITRATO DE PRATA 1% 10 ML ESTERIL(TORAX) -  MEDIC. MANIPULAD,NITRATO DE PRATA (BASTÃO)
PRASUgrel 10MG (MAV),Prasugrel
Amoxicilina 500mg + Clavulanato de Potássio 100mg - F/A 0 g,AMOXICILINA + CLAVULANATO POTASSIO
AGUA BIDESTILADA AMPOLA 10ML,AGUA DESTILADA
VARFARINA 5 mg,VARFARINA SODICA
"CEFTRIAXONA 1G INJ + SF0,9% 100ML",CefTRIAXona
Fluconazol 150mg cap,FLUCONAZOL
(Não Usar) Morfina 10mg/ml amp 1ml - Substituido pelo 1301,SULFATO DE MORFINA
Irinotecano  20mg/ml Fa. 2ml,IRINOTECANO
Cloridrato de Donepezila 5mg,DONEPEZILA
DIPIRONA 1000MG - CP,DipiRONA
IVERMECTINA 6MG - COMPRIMIDO,IVERMECTINA
QUETIAPINA COMPRIMIDO C/50 MG LC,QUEtiapina
DAPAGLIFOZINA 10MG COMP,DAPAGLIFLOZINA
EVERolimo 5MG CX C/ 30 COMP,Everolimo
"HEparina 5000 UI/ 0,25ml SC",Heparina
Amoxicilina/Clavulanato de Potássio 500/125mg Cp Rev,AMOXICILINA + CLAVULANATO POTASSIO
MetoTREXATO 15MG (MEDICAMENTO DE RISCO),METOTREXATO
Doxiciclina 100 mg comp ,DOXICICLINA
"METRONIDAZOL GEL TOP. 0,75 %",METRONIDAZOL (TOPICO)
VITAMINA B1 (TIAMINA) 100MG/ML AMP 1ML,TIAMINA (VITAMINA B1)
DIPIRONA 50MG / ML 100 ML COM SABOR,DipiRONA
NP Gentamicina 40mg/1ml amp,GENTAMICINA
Zitromax 500mg Cp rev,AZITROMICINA
"DOBUTAMINA 12,5MG/ML 20ML AMP",Dobutamina
Vitamina D3 (colecalciferol) 10.000ui/ml Ampola 1ml ,COLECALCIFEROL (VITAMINA D)
"RIFAMPICINA, CAP C/300MG",Rifampicina
HALOPERIDOL 5MG/1ML,HaloPERidol
Nitrofurantoina 100 mg cp,NITROFURANTOINA
OXACILINA SODICA 500MG FRASCO AMPOLA EV/IM,OXACILINA SODICA
DIFENIDRAMINA 50MG/ML- AMP 1ML,DIFENIDRAMINA
ACIDO ACETILSALICILICO 100 mg,ACIDO ACETILSALICILICO <200MG
CLORAMBUCILA COMPRIMIDO 2MG##,CLORAMBUCILA
BONVIVA 150MG 1 CP REV,IBANDRONATO DE SODIO
MC: VENZER 16 ,CANDESARTANA CILEXETILA
CISATRACURIO 2MG/ML 10ML,CISATRACURIO
BROMOPRIDA 10MG/2ML+AD,BROMOPRIDA
TRISK (DAPTOMICINA) 500MG FR INJ,DAPTOmicina
PROPILTIOURACILA 100MG COMPRIMIDO,PROPILTIOURACILA
FUROSEMIDA 10MG / 1ML 2ML,FUROSEMIDA
ALFAEPOETINA 10000UI PO LIOFILIZADO FA,ALFAEPOETINA (ERITROPOETINA)
POLIHEXANIDA SOLUCAO AQUOSA,AGUA PURIFICADA + BETAINA + POLIHEXADINA (TOPICO)
Agua filtrada,AGUA FILTRADA
Indocid 25mg Cap (Não Padrão),INDOMETACINA
NP TIAMAZOL 10MG,METIMAZOL (tiamazol)
Fluconazol  200mg inj. frasco c/ 100mL,FLUCONAZOL
ACIDO FOLICO 5 MG,ACIDO FOLICO (VITAMINA B9)
CLORETO DE POTASSIO 10% 10ML,CLORETO DE POTASSIO
DIVALPROATO SODICO COMPRIMIDO REVESTIDO 500MG @,DIVALPROATO DE SODIO
MEROPENEM 500MG,MEROPENEM
"NEOCAINA 0,50% (5 MG/ML) 20ML S/VASO FA",BUPIVACAINA
Doxopeg (doxorrubicina Lipossomal Peguilada),DOXORRUBICINA LIPOSSOMAL
CAFEINA+PARACETAMOL 65MG+500MG COMP REVESTIDO,PARACETAMOL + CAFEINA
FENITOINA SOLUCAO INJETAVEL 50MG/ML 5ML @,FENITOINA
Voluven 6% Bl. 500mL,Hidroxietilamido
NORIPURUM 100MG/5ML AMPOLA 5ML ENDOVENOSO,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO)
CEFOTAXIMA 1G INJ,CEFOTAXIMA
MYTEDOM 10mg/ml amp 1 ml,Metadona
"Solução p/ Bochecho (Difenidramina 12,5mg + Dexametasona 0,5mg + Nistatina 100.000 UI + Lidocaina 2% viscosa /ml) Fr 100 ml (manipulado)",DIFENIDRAMINA  + DEXAMETASONA + NISTATINA + LIDOCAINA (TOPICO)
"Patanol S solução oftálmica 2,5ml",OLOPATADINA (OFTALMICO)
FENOXIMETILPENICILINA POTÁSSICA - 500.000UI - CP,fenoximetilpenicilina (penicilina v)
FLUCONAZOL 150MG CAPSULA,FLUCONAZOL
DEXTRANA + HIPROMELOSE 1 mg,DEXTRANA + HIPROMELOSE (OFTALMICO)
CLORTALIDONA COMPRIMIDO 50MG,CLORTALIDONA
"NAPRIX D-5/12,5MG COMPRIMIDO",RAMIPRIL
Allegra 180mg Comprimido Revestido  ,FEXOFENADINA
Isoniazida 100mg Comprimido,ISONIAZIDA
"Ipratropio Brometo 0,25mg/ml - Solucao Inalatoria - Frasco Com 20ml",IPRATROPIO
SALBUTAMOL 100 MCG  - AEROS (AEROLIN),SALBUTAMOL (ALBUTEROL)
"Venlafaxina 7,5mg/mL Susp oral 100mL (Med. Controlado) (Não Padrão)",VENLAFAXINA 
HIDROXIUREIA 500MG CAPSULA,HIDROXIUREIA
INSULINA LISPRO 100 UI/mL,INSULINA LISPRO
CEFOXITINA 1G FR AMP,CEFOXITINA
Trimebutina 200mg Cápsula Gelatinosa Mole,TRIMEBUTINA
Losec mups 10MG CPR,OMEPRAZOL MAGNESIO
DOCELIBBS (DOCETAXEL)  20MG,DOCETAXEL
LORAzepam 2mg Comprimido,LORAZEPAM
"CLORETO DE POTASSIO 19,1% 10ML (MED.ALTO RISCO)",CLORETO DE POTASSIO
Nimodipino 60mg /ml FR 130ml,NiMODipino
GLICOSE 5% 250ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
DESLORATADINA 5MG CPR,DESLORATADINA
"Oximetazolina 0,25mg/ml Inf. sol. nasal Fr. 20mL.",OXIMETAZOLINA
"SANDOSTATIN 0,1MG ( OCTREOTIDA )",OCTREOTIDA
Proctosan Pomada 20g,LIDOCAINA + MENTOL + AZULENO + CASTANHA DA INDIA + HAMAMELIS (TOPICO E RETAL)
CETOPROFENO 100MG PO LIOFILIZADO INJETAVEL,CETOPROFENO
"ACIDO VALPROICO 250MG/5ML XAROPE DOSE 7,5 ML",ACIDO VALPROICO (VALPROATO DE SODIO)
Keflin (cefaLOTina) 1g Frasco-ampola,Cefalotina
MICOFENOLATO DE MOFETILA COMP REV 500MG,MICOFENOLATO MOFETIL
FOSF. DE CLINDAMICINA 150MG/ML SOL. INJETAVEL AMP 2ML,CLINDAMICINA
MANTEIGA DE CACAU BASTAO,MANTEIGA DE CACAU
Gotas Binelli 30mg/ml Gotas 10ml,DROPROPIZINA
Dulcolax 5mg Drg ( Bisacodil ),BISACODIL
